0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
 ,Home Purchase Sentiment Index (HPSI),Percent of respondents who say it is a good or bad time to buy (12),,,Percent of respondents who say it is a good or bad time to sell (13),,,"Percent of respondents who say home prices will go up, go down, or stay the same in the next 12 months (15)",,,"Percent of respondents who say mortgage rates will go up, go down, or stay the same in the next 12 months (20B)",,,Percent of respondents who say are concerned or not concerned about losing their job (112b filtered),,,"Percent of respondents who say their household income is higher, lower, or about the same compared to 12 months ago (116)",,,Average home/rental price change expectation,,"Share of respondents who say home rental prices will go up, go down, or stay the same in the next 12 months (18)",,,Share of respondents who say they would buy or rent if they were going to move (31),,Share of respondents who think it would be difficult or easy for them to get a home mortgage today (22),,"Share of respondents who expect their personal financial situation to get better, get worse, or stay the same in the next 12 months (11)",,,Share of respondents who think the economy is on the right track or the wrong track (10),
date,HPSI,Good Time to Buy,Bad Time to Buy,Net % Good Time Buy,Good Time to Sell,Bad Time to Sell,Net % Good Time Sell,Go Up,Go Down,Net % Prices Will Go Up,Go Up,Go Down,Net % Rates Will Go Down,Concerned,Not Concerned,Net % Not Concerned,Higher,Lower,Net % Higher,% Home Price Change,% Rental Price Change,Go Up,Go Down,Stay the Same,Buy,Rent,Difficult,Easy,Get Better,Get Worse,Stay the Same,Right Track,Wrong Track
Jun-10,,72%,25%,47%,14%,83%,-69%,31%,18%,13%,51%,12%,-39%,,,,19%,21%,-2%,1.6%,3.1%,39%,11%,46%,66%,30%,53%,44%,47%,13%,38%,32%,58%
Jul-10,,69%,29%,40%,13%,84%,-71%,29%,21%,8%,48%,12%,-36%,,,,22%,20%,2%,0.5%,3.0%,38%,10%,46%,67%,29%,55%,42%,42%,17%,40%,30%,60%
Aug-10,,70%,25%,45%,13%,84%,-71%,25%,17%,8%,48%,13%,-35%,,,,18%,21%,-3%,0.3%,2.8%,38%,9%,49%,63%,32%,55%,41%,41%,17%,41%,30%,60%
Sep-10,,72%,25%,47%,9%,88%,-79%,27%,20%,7%,46%,13%,-33%,,,,19%,21%,-2%,0.6%,2.8%,37%,7%,52%,62%,33%,57%,40%,41%,16%,41%,27%,63%
Oct-10,,69%,27%,42%,11%,85%,-74%,25%,21%,4%,49%,11%,-38%,,,,20%,21%,-1%,0.2%,3.0%,37%,8%,50%,64%,32%,55%,41%,42%,17%,40%,29%,61%
Nov-10,,66%,32%,34%,11%,87%,-76%,28%,18%,10%,52%,9%,-43%,,,,22%,16%,6%,0.6%,3.1%,40%,7%,48%,64%,31%,57%,42%,44%,15%,39%,32%,57%
Dec-10,,66%,30%,36%,9%,89%,-80%,25%,18%,7%,48%,12%,-36%,,,,17%,20%,-3%,0.4%,3.0%,37%,7%,52%,68%,27%,53%,45%,39%,16%,42%,29%,63%
Jan-11,,69%,27%,42%,11%,87%,-76%,29%,17%,12%,45%,7%,-38%,,,,22%,19%,3%,0.8%,3.3%,40%,6%,49%,68%,28%,56%,41%,46%,12%,42%,34%,58%
Feb-11,,68%,27%,41%,10%,86%,-76%,31%,14%,17%,50%,6%,-44%,,,,22%,19%,3%,1.0%,3.1%,43%,7%,46%,66%,30%,52%,45%,43%,13%,43%,35%,54%
Mar-11,60.0,67%,29%,38%,12%,84%,-72%,33%,19%,14%,51%,7%,-44%,28%,72%,44%,19%,20%,-1%,1.1%,3.2%,46%,6%,44%,65%,31%,57%,41%,39%,21%,39%,30%,63%
Apr-11,62.5,72%,25%,47%,11%,87%,-76%,30%,19%,11%,51%,7%,-44%,24%,75%,51%,23%,18%,5%,1.1%,3.2%,43%,6%,44%,65%,31%,55%,43%,40%,17%,42%,29%,63%
May-11,60.3,66%,30%,36%,11%,85%,-74%,27%,19%,8%,47%,6%,-41%,27%,74%,47%,21%,16%,5%,0.6%,3.9%,46%,4%,44%,66%,30%,55%,43%,40%,17%,42%,30%,61%
Jun-11,61.0,67%,29%,38%,11%,87%,-76%,22%,25%,-3%,37%,8%,-29%,24%,75%,51%,21%,17%,4%,-0.5%,4.1%,44%,6%,46%,65%,32%,51%,45%,40%,16%,42%,26%,67%
Jul-11,60.0,67%,30%,37%,12%,86%,-74%,22%,25%,-3%,45%,9%,-36%,23%,76%,53%,20%,18%,2%,-0.8%,3.9%,47%,6%,44%,62%,33%,55%,43%,38%,21%,41%,23%,71%
Aug-11,59.3,68%,29%,39%,9%,87%,-78%,21%,27%,-6%,45%,10%,-35%,25%,74%,49%,23%,17%,6%,-0.7%,3.9%,48%,6%,40%,63%,34%,54%,43%,35%,21%,42%,15%,79%
Sep-11,60.2,68%,28%,40%,8%,88%,-80%,18%,26%,-8%,35%,11%,-24%,25%,75%,50%,23%,21%,2%,-1.3%,3.6%,45%,7%,43%,62%,33%,55%,43%,37%,20%,41%,15%,77%
Oct-11,61.2,68%,27%,41%,10%,87%,-77%,20%,23%,-3%,37%,9%,-28%,25%,75%,50%,19%,16%,3%,-0.4%,3.6%,44%,5%,46%,66%,30%,55%,42%,35%,18%,45%,16%,76%
Nov-11,61.7,68%,29%,39%,11%,86%,-75%,23%,22%,1%,35%,13%,-22%,27%,73%,46%,17%,17%,0%,0.1%,3.3%,41%,6%,49%,61%,35%,55%,42%,37%,18%,43%,14%,76%
Dec-11,63.5,69%,28%,41%,11%,87%,-76%,26%,17%,9%,36%,11%,-25%,25%,74%,49%,20%,18%,2%,0.6%,3.5%,43%,5%,45%,65%,31%,55%,43%,42%,18%,38%,22%,69%
Jan-12,66.2,69%,26%,43%,11%,85%,-74%,30%,16%,14%,35%,8%,-27%,22%,77%,55%,21%,16%,5%,1.2%,3.5%,45%,4%,45%,64%,31%,55%,42%,44%,14%,40%,30%,61%
Feb-12,66.3,69%,25%,44%,13%,84%,-71%,27%,15%,12%,35%,11%,-24%,24%,76%,52%,20%,16%,4%,0.9%,3.3%,45%,4%,45%,65%,30%,52%,44%,45%,12%,42%,35%,57%
Mar-12,66.2,71%,24%,47%,14%,84%,-70%,35%,14%,21%,41%,8%,-33%,27%,72%,45%,22%,16%,6%,1.2%,4.0%,48%,4%,44%,66%,30%,52%,45%,44%,11%,44%,34%,58%
Apr-12,68.2,71%,24%,47%,15%,82%,-67%,32%,15%,17%,39%,9%,-30%,24%,75%,51%,25%,15%,10%,1.3%,3.4%,49%,5%,43%,63%,32%,52%,45%,44%,12%,43%,37%,55%
May-12,69.3,72%,25%,47%,16%,82%,-66%,35%,12%,23%,41%,8%,-33%,21%,79%,58%,22%,16%,6%,1.6%,4.0%,48%,5%,44%,63%,34%,51%,46%,42%,11%,45%,38%,56%
Jun-12,68.5,72%,22%,50%,16%,81%,-65%,35%,13%,22%,38%,8%,-30%,24%,74%,50%,18%,15%,3%,1.9%,4.0%,48%,5%,43%,67%,28%,52%,47%,43%,14%,40%,36%,57%
Jul-12,69.5,71%,23%,48%,16%,79%,-63%,36%,11%,25%,36%,7%,-29%,24%,74%,50%,21%,16%,5%,1.9%,4.1%,49%,2%,45%,65%,31%,56%,41%,45%,15%,37%,35%,58%
Aug-12,68.0,71%,26%,45%,18%,78%,-60%,33%,12%,21%,41%,8%,-33%,26%,74%,48%,22%,16%,6%,1.5%,3.1%,43%,5%,45%,66%,29%,51%,47%,43%,15%,38%,32%,61%
Sep-12,71.8,70%,24%,46%,19%,74%,-55%,37%,11%,26%,32%,9%,-23%,22%,78%,56%,18%,18%,0%,1.6%,3.2%,47%,4%,42%,68%,30%,51%,47%,45%,13%,39%,42%,53%
Oct-12,72.3,74%,21%,53%,18%,78%,-60%,37%,10%,27%,35%,8%,-27%,21%,78%,57%,19%,16%,3%,1.8%,3.9%,49%,3%,44%,66%,29%,54%,45%,45%,13%,39%,39%,56%
Nov-12,71.7,71%,25%,46%,24%,72%,-48%,37%,14%,23%,42%,8%,-34%,22%,77%,55%,21%,14%,7%,1.6%,4.2%,48%,4%,44%,67%,28%,47%,50%,41%,17%,40%,45%,48%
Dec-12,72.8,70%,24%,46%,21%,74%,-53%,43%,11%,32%,44%,8%,-36%,20%,80%,60%,23%,16%,7%,2.6%,4.6%,48%,4%,42%,65%,31%,54%,45%,40%,20%,39%,38%,54%
Jan-13,73.5,69%,26%,43%,23%,72%,-49%,41%,10%,31%,41%,7%,-34%,19%,80%,61%,23%,15%,8%,2.4%,3.7%,50%,6%,40%,65%,30%,55%,42%,43%,19%,37%,39%,53%
Feb-13,73.7,73%,24%,49%,25%,72%,-47%,48%,10%,38%,45%,7%,-38%,21%,76%,55%,21%,17%,4%,2.9%,3.9%,50%,4%,42%,67%,30%,49%,47%,41%,17%,41%,38%,53%
Mar-13,74.2,71%,24%,47%,26%,69%,-43%,48%,10%,38%,46%,6%,-40%,20%,79%,59%,20%,17%,3%,2.7%,4.1%,50%,3%,41%,64%,32%,51%,47%,38%,21%,39%,35%,58%
