Geography:,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Alabama,"22,736","22,762","22,614","23,426","24,579","25,442","26,291","26,716","27,549","28,581","28,661","28,694","29,586","29,626","30,244","30,860","31,040","31,675","33,051","33,416","33,885","34,187","34,340","34,793","36,090","36,612","37,209","37,572","37,290","36,436","36,985","37,046","37,152","36,758","37,512"
Alaska,"43,987","43,897","46,958","45,594","44,164","44,505","43,093","40,294","40,160","41,673","41,421","40,242","40,385","40,556","40,570","40,452","40,089","41,012","41,751","41,837","43,277","43,949","44,717","45,372","45,833","46,697","47,616","49,533","51,983","50,960","51,856","53,200","53,888","52,084","54,012"
Arizona,"27,667","27,900","27,054","28,047","29,478","30,443","31,502","31,658","31,854","31,893","31,168","30,549","30,585","30,802","31,548","31,991","32,554","33,444","35,090","35,506","36,502","36,394","36,310","36,595","37,870","39,312","40,926","41,018","39,673","37,579","37,106","37,544","37,928","37,314","37,895"
Arkansas,"21,808","22,314","22,099","22,667","24,030","24,657","25,356","25,328","26,096","26,679","26,514","26,577","27,754","27,830","28,366","28,861","29,343","29,712","30,771","31,057","31,347","31,919","31,897","32,756","33,651","33,840","34,620","35,596","35,667","34,894","34,725","35,740","37,415","37,117","37,782"
California,"34,267","34,174","33,673","34,557","36,131","36,886","37,922","38,525","39,239","39,297","38,940","37,939","38,202","37,625","37,585","38,206","39,063","40,031","42,305","43,572","45,903","45,581","45,148","45,517","46,669","47,334","48,965","49,298","48,151","45,881","46,035","47,202","49,089","48,900","49,985"
Colorado,"31,282","31,870","32,025","32,594","33,696","33,980","34,338","34,162","34,708","35,686","35,529","35,265","36,065","36,704","37,401","38,490","39,372","40,387","43,178","44,606","47,062","47,127","46,064","45,557","45,957","46,872","47,809","48,251","47,980","45,792","45,456","46,672","47,839","47,499","48,869"
Connecticut,"35,494","35,921","36,417","37,476","40,005","41,200","43,218","45,294","47,621","49,166","47,861","46,106","48,180","48,281","48,190","49,277","50,016","51,927","54,535","55,646","58,025","58,423","57,123","56,846","59,025","59,983","62,670","64,757","63,536","61,234","62,248","63,021","64,681","63,112","64,864"
Delaware,"31,049","30,910","31,208","32,049","33,500","34,891","35,870","36,862","38,068","39,798","38,971","38,780","38,668","38,382","38,284","38,792","39,704","39,958","42,037","42,647","44,140","45,451","45,897","45,590","46,693","46,758","47,840","47,232","46,538","45,930","45,354","45,837","46,133","45,541","46,378"
District Of Columbia,"37,612","36,668","36,995","37,500","39,192","40,036","41,023","41,808","44,579","45,808","46,617","47,078","48,527","49,294","49,652","49,328","50,609","52,490","55,164","56,004","59,419","60,291","60,697","61,532","63,837","65,343","67,799","69,762","72,821","69,308","69,188","70,887","71,110","69,711","69,838"
Florida,"29,253","29,582","29,335","30,790","31,968","33,014","34,074","34,627","35,568","36,897","36,154","35,145","35,405","35,795","35,938","36,794","37,225","37,678","39,278","39,645","40,687","40,879","40,839","41,073","42,656","43,997","45,581","45,603","44,007","41,348","42,027","42,662","42,527","41,974","42,737"
