Geography:,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Alabama,288.8,274.1,261.6,264.0,269.0,267.8,280.7,283.7,280.4,271.1,261.8,259.3,262.2,265.6,268.5,272.3,275.7,280.1,292.1,293.9,291.4,300.3,307.2,312.4,315.9,325.8,340.9,348.5,337.7,336.2,315.5,293.3,286.5,281.7,284.8
Alaska,234.5,276.8,319.3,321.1,326.6,303.2,293.6,240.9,240.2,202.5,197.7,216.3,220.0,218.2,222.5,225.9,229.9,231.4,236.6,240.3,236.3,242.2,253.8,260.3,279.2,302.3,321.8,326.3,311.1,312.7,302.9,293.7,289.4,295.5,299.4
Arizona,282.1,278.6,257.5,265.9,264.4,268.8,281.3,275.8,263.7,249.0,235.7,231.5,231.8,230.5,236.4,243.5,248.2,252.9,264.1,272.0,278.9,290.4,304.4,314.9,345.2,431.3,495.6,478.1,394.1,334.4,285.7,245.5,250.5,282.0,306.5
Arkansas,283.8,266.6,253.2,263.1,260.1,258.2,266.1,258.6,246.9,236.7,226.0,222.2,222.9,226.4,233.8,238.5,240.3,242.4,249.4,250.7,248.2,255.2,262.1,266.9,274.9,284.2,292.6,293.9,280.5,279.8,265.6,251.4,247.7,249.2,251.2
California,284.9,284.7,273.8,266.9,264.0,270.3,286.2,305.8,341.1,393.6,404.2,386.6,371.0,346.8,322.0,307.8,298.7,300.6,323.1,342.4,372.7,410.2,453.1,498.4,595.1,707.1,754.9,696.3,536.4,469.7,444.3,405.3,397.9,444.1,494.8
Colorado,284.1,276.4,288.4,284.6,274.5,267.6,271.4,258.7,244.2,234.6,227.5,226.6,235.4,249.5,273.3,287.3,296.0,305.5,321.2,342.4,369.9,395.0,412.1,413.6,416.9,421.3,420.8,415.7,394.3,391.6,369.9,345.6,343.9,363.0,391.5
Connecticut,280.5,274.6,263.6,277.7,299.3,335.6,405.6,492.7,520.2,488.7,440.5,402.5,386.9,369.7,349.5,338.7,334.1,331.2,344.9,356.6,371.6,394.8,429.8,456.2,497.9,538.5,551.7,539.7,495.0,471.9,442.9,412.6,396.9,390.3,388.6
Delaware,290.7,272.4,265.7,276.6,284.0,300.9,331.5,364.8,389.6,407.7,399.0,389.7,383.0,373.7,359.3,350.7,347.1,344.4,352.8,359.3,367.6,385.0,413.3,438.8,486.3,540.4,573.8,573.6,531.1,507.7,474.1,430.4,413.4,412.6,417.7
District Of Columbia,268.9,247.7,226.0,221.8,226.4,232.9,252.4,279.0,315.9,338.2,333.9,322.3,320.3,308.6,293.3,283.1,280.1,274.0,286.5,303.0,334.5,376.0,430.6,474.0,553.7,659.9,715.6,716.6,644.4,620.2,602.9,585.2,594.5,641.4,695.2
Florida,283.1,277.7,284.8,282.7,277.5,273.3,282.8,281.6,282.7,279.8,270.7,264.3,263.8,262.1,258.0,257.3,257.2,258.8,269.5,274.8,283.6,304.4,333.5,360.6,411.3,497.6,558.8,531.3,422.5,364.3,320.2,284.6,277.6,297.0,322.9
