Geography:,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Alabama,"1,123","1,127","1,127","1,128","1,135","1,142","1,149","1,157","1,162","1,165","1,169","1,176","1,183","1,195","1,210","1,227","1,246","1,264","1,283","1,314","1,333","1,356","1,378","1,395","1,414","1,435","1,457","1,481","1,505","1,523","1,524","1,525","1,527","1,531","1,538"
Alaska,86,91,96,103,112,119,125,130,134,138,141,142,144,146,148,151,154,157,161,167,167,169,172,175,178,181,184,187,190,192,206,216,215,214,215
Arizona,735,758,776,798,831,872,910,941,961,973,985,"1,003","1,023","1,048","1,081","1,121","1,163","1,205","1,254","1,322","1,359","1,413","1,467","1,519","1,575","1,641","1,716","1,784","1,834","1,866","1,916","1,947","1,952","1,964","1,980"
Arkansas,709,709,709,711,716,720,725,727,728,727,727,729,732,737,744,753,762,771,782,809,826,840,853,864,877,891,909,924,933,937,941,942,947,951,955
California,"5,829","5,917","5,977","6,030","6,119","6,241","6,391","6,557","6,705","6,846","6,983","7,110","7,195","7,271","7,347","7,421","7,495","7,576","7,663","7,750","7,774","7,891","8,001","8,112","8,240","8,380","8,523","8,644","8,718","8,754","8,860","8,932","8,964","8,985","9,009"
Colorado,792,814,833,855,883,911,932,949,961,968,975,985,997,"1,016","1,042","1,074","1,107","1,139","1,173","1,209","1,215","1,259","1,303","1,340","1,372","1,404","1,438","1,470","1,499","1,509","1,532","1,548","1,554","1,564","1,577"
Connecticut,712,719,725,732,740,751,765,781,796,809,818,825,832,839,847,855,862,870,877,883,886,892,897,902,908,914,920,926,929,932,950,962,961,960,962
Delaware,167,169,170,172,175,178,181,185,190,194,198,201,205,208,213,216,220,224,228,235,238,243,248,253,259,266,272,278,283,287,293,298,298,299,302
District Of Columbia,98,99,100,101,102,102,103,104,105,105,106,106,106,105,105,105,105,104,105,107,109,109,109,110,110,110,111,112,110,109,111,112,114,115,115
Florida,"2,597","2,682","2,750","2,807","2,897","2,996","3,092","3,180","3,257","3,327","3,401","3,484","3,552","3,616","3,698","3,784","3,868","3,955","4,047","4,159","4,200","4,324","4,440","4,557","4,689","4,847","5,027","5,177","5,277","5,334","5,402","5,439","5,438","5,454","5,497"
Georgia,"1,430","1,444","1,458","1,480","1,517","1,558","1,600","1,639","1,672","1,699","1,725","1,760","1,794","1,834","1,884","1,941","2,002","2,067","2,126","2,169","2,175","2,261","2,343","2,418","2,492","2,571","2,654","2,734","2,793","2,828","2,852","2,866","2,867","2,871","2,889"
Hawaii,176,183,189,195,200,206,212,218,225,232,239,243,248,251,255,259,262,264,267,273,276,280,282,284,287,291,296,300,307,312,316,321,320,321,323
Idaho,272,277,279,282,284,287,289,291,292,294,297,301,307,316,327,338,349,357,367,377,381,393,403,414,426,439,455,470,480,486,499,507,508,509,514
