Date,Time,Labels,Text (Click to drill to Message Detail),Engagement,Clicks,Replies,Likes,Retweets,Retweet Audience
6/1/2015,9:30 AM,"HomePath Ready Buyer, Housing Recovery Solutions",It's not too late for 1st time homebuyers to take advantage of our Ready Buyer program. Learn more here: https://www.homepath.com/ready_buyer.html,38,23,0,3,12,7994
,,,,,,,,,
6/1/2015,10:00 AM,positioning and reputation,@mareinet @RealtorAnusha @blancacontreras @lukebellks @SBMex713 @Charlie053 @RealtorRJ @Marethomeloans @tbepko Thx for retweeting!,2,,0,1,1,737
,,,,,,,,,
6/1/2015,4:40 PM,positioning and reputation,"Did you know we're on Facebook and LinkedIn, too? Here's how to connect w/ us: http://fanniemae.com/portal/stay-connected.html",14,10,0,2,2,836
,,,,,,,,,
6/2/2015,8:40 AM,"Housing Recovery Solutions, The Home Story",3 questions to help you determine if you're financially ready to buy a home: http://www.thehomestory.com/three-questions-to-ask-yourself-before-applying-for-a-home-loan/,55,42,1,2,10,34996
,,,,,,,,,
6/2/2015,10:35 AM,positioning and reputation,@FirstAmDataTree @scottdshaker @MalachiMustafa @craigkamman @FICODr @TJ_DMV_Realtor @CameronchapmanL @MtgEducators Appreciate your RTs!,1,,0,1,0,0
,,,,,,,,,
6/2/2015,1:30 PM,Access to Credit,"In Q1 HARP refinance volume reached 3,302,102 since the program began: http://themreport.com/news/data/05-29-2015/fhfa-harp-refinance-volume-continues-to-grow-for-q1 Via @TheMReportNews.",13,8,0,2,3,5584
,,,,,,,,,
6/2/2015,5:30 PM,"Multifamily, positioning and reputation","Fannie Mae offers incentives for energy, water efficiency in #multifamily buildings: http://www.bdcnetwork.com/fannie-mae-offers-incentives-energy-water-efficiency-multifamily-buildings Via @ BDCNetwork.",22,13,1,3,5,1123
,,,,,,,,,
6/3/2015,11:45 AM,business support,Electronic processes help smaller lenders compete: http://housingindustryforum.com/content/electronic-processes-help-smaller-lenders-compete-0#.VW76X8_4-Cc,7,4,0,0,3,80
,,,,,,,,,
6/3/2015,6:15 PM,"Housing Recovery Solutions, The Home Story",Find out how a new generation of #homebuyers is changing the real estate game: http://www.thehomestory.com/new-generation-of-homebuyers-is-changing-the-real-estate-game/,52,36,0,9,7,880
,,,,,,,,,
6/4/2015,9:15 AM,"HARP refi, Housing Recovery Solutions",#HARPrefi may be your best route to a better mortgage. Find out if you qualify: http://harp.gov/Eligibility. https://youtu.be/pPKmezEaynw,13,6,0,3,4,747
,,,,,,,,,
6/4/2015,10:06 AM,positioning and reputation,Tune in today to catch our VP of Econ. + Strategic Research Mark Palim talk Millennials + #homebuying. #GenYHousing https://t.co/FucUmuOFXH,4,,0,1,3,4631
,,,,,,,,,
6/4/2015,1:40 PM,positioning and reputation,@TheMReportNews @pointgigs @FirstAmDataTree @RealtorQ @HoCoHousing @businesstoken @RemainHome @ourmann @RealEstatePross Thx for retweeting!,1,,0,1,0,0
,,,,,,,,,
6/4/2015,8:05 PM,"Housing Recovery Solutions, The Home Story",Are you financially ready to buy a home? Ask yourself these 3 questions: http://www.thehomestory.com/three-questions-to-ask-yourself-before-applying-for-a-home-loan/,63,43,2,4,14,33309
,,,,,,,,,
6/5/2015,9:33 AM,positioning and reputation,We'll have a video summarizing Chief Econ. Doug Duncan's view on the May #jobsreport later today. https://t.co/Txs0JKkS10,6,,0,2,4,1733
,,,,,,,,,
6/5/2015,11:12 AM,positioning and reputation,"Chief Economist Doug Duncan, talking about the economy and housing today @IIF's 2015 North America Summit. #iifnyc https://t.co/92RdV0mrdl",5,,1,1,3,923
,,,,,,,,,
6/5/2015,3:23 PM,"Jobs Report, positioning and reputation",What does today's #jobsreport mean for the economy + housing? Find out in this short video: https://youtu.be/vWZYP4Hb4ps,15,10,0,2,3,173
,,,,,,,,,
6/6/2015,11:30 AM,"Jobs Report, positioning and reputation",ICYMI: Our Economics + Strategic Research team reviews what the May #jobsreport means for the econ. + housing. https://youtu.be/vWZYP4Hb4ps,11,9,0,0,2,33
,,,,,,,,,
6/7/2015,11:30 AM,"Housing Recovery Solutions, The Home Story",Think you're ready to be a homeowner? This @CNNMoney quiz can help you find out: http://www.thehomestory.com/whats-your-homebuying-iq/,29,21,0,2,6,1040
,,,,,,,,,
6/8/2015,11:53 AM,"HPSI, positioning and reputation",Record number of homeowners say now's a good time to sell in May National Housing Survey: https://youtu.be/IxkaD5SI6gQ,26,16,0,3,7,4892
,,,,,,,,,
6/8/2015,1:40 PM,positioning and reputation,@FSRoundtable @CharlenePlacko @MDHousing @twilliamson1981 @mrwaggs @GeorgiaGalanis @katd50 @di916 @MrMortgageNC @PamOddi Thx for the RTs!,2,,0,1,1,618
,,,,,,,,,
6/8/2015,1:45 PM,positioning and reputation,"Why aren't #Millenials aren't buying homes? Mark Palim, VP of Econ. + Strategic Research weighs in: http://www.housingwire.com/articles/34097-heres-why-millennials-arent-buying-homes Via @HousingWire.",23,20,0,0,3,147
,,,,,,,,,
6/8/2015,7:25 PM,business support,Electronic processes help smaller lenders compete: http://housingindustryforum.com/content/electronic-processes-help-smaller-lenders-compete-0#.VW76X8_4-Cc,18,11,0,2,5,1957
,,,,,,,,,
6/9/2015,3:11 PM,"Housing Recovery Solutions, The Home Story",Can you guess which generation makes up 27% of homebuyers and home sellers? Find out: http://www.thehomestory.com/wp-content/uploads/2015/05/jerseyfilms.jpg,40,32,2,2,4,659
,,,,,,,,,
6/9/2015,9:15 PM,"HPSI, positioning and reputation","Last week a strong #jobsreport, this week positive National Housing Survey results. Catch the highlights: https://youtu.be/IxkaD5SI6gQ",34,31,0,1,2,1445
,,,,,,,,,
6/10/2015,8:53 AM,positioning and reputation,Total mortgage application volume increased 8.4% last week. http://www.cnbc.com/id/102746711 Via @DianaOlick.,29,17,1,3,8,2799
,,,,,,,,,
6/10/2015,11:32 AM,positioning and reputation,"Great insights! Mark Palim, our VP of Econ. + Strategic Research, begins his presentation at the 40-minute mark. https://t.co/UrxBYj5Okn",5,,0,1,4,265
,,,,,,,,,
6/10/2015,8:40 PM,"Housing Recovery Solutions, The Home Story",Nancy Beard didn't let tough times keep her from homeownership. Here's her Home Story: http://www.thehomestory.com/my-home-story-finding-affordable-tranquility-with-a-view/ #AmericanHousingMonth #WA,16,12,0,2,2,11530
,,,,,,,,,
6/11/2015,9:20 AM,positioning and reputation,"We think so, too. https://t.co/KjCGVvJktZ",5,,0,5,0,0
,,,,,,,,,
6/11/2015,10:16 AM,"Housing Recovery Solutions, The Home Story",Find out how a new generation of #homebuyers is changing the real estate game: http://www.thehomestory.com/new-generation-of-homebuyers-is-changing-the-real-estate-game/,45,32,0,4,9,3060
,,,,,,,,,
6/11/2015,12:22 PM,​,@gcyoung64 Let our representatives know you want to learn about the Community HomeChoice option. 3/4,0,,0,0,0,0
,,,,,,,,,
6/11/2015,1:45 PM,positioning and reputation,"Lower down payment mortgages are increasing, thanks in part to GSEs' low down payment options. http://jacksonville.com/opinion/blog/410080/careyfrankelrealtygroupcom/2015-06-09/buying-home-less-down-your-different Via @jaxdotcom.",33,24,0,3,6,565
,,,,,,,,,
6/11/2015,4:15 PM,positioning and reputation,@joelight @KristinandDavid @Hydepark_Homes @DreamSeekers247 @lpetersonre @GabeJr1stTeam @ABABankers @pinkmerlin Appreciate your RTs!,2,,1,0,1,273
,,,,,,,,,
6/11/2015,4:25 PM,"HPSI, positioning and reputation",#ICYMI: May National Housing Survey results show positive signs for housing heading into final lap of Q2. https://youtu.be/IxkaD5SI6gQ,11,6,0,1,4,1273
,,,,,,,,,
6/11/2015,6:35 PM,business support,MyCommunityMortgage expands lending opportunities: http://housingindustryforum.com/content/mycommunitymortgage-expands-lending-opportunities#.VXc9x8_4-Cc,30,24,1,1,4,285
,,,,,,,,,
6/12/2015,10:40 AM,positioning and reputation,The % of our seriously delinquent single-family loans has dropped notably since '10. http://fanniemae.com/progress/building.html,30,18,0,0,12,2711
,,,,,,,,,
6/12/2015,3:15 PM,positioning and reputation,House value jumping? Save your home improvement receipts: http://www.nytimes.com/2015/06/06/your-money/house-value-jumping-save-your-home-improvement-receipts.html Via @ronlieber.,24,19,0,2,3,2083
,,,,,,,,,
6/13/2015,10:15 AM,"Housing Recovery Solutions, The Home Story","Once suffering much of the brunt of the housing crisis, Gen X #homeowners are making a comeback: http://www.thehomestory.com/generation-x-is-getting-serious-about-homeownership/",53,28,2,9,14,16186
,,,,,,,,,
6/14/2015,10:00 AM,"Access to Credit, HomePath Ready Buyer","Now available: Closing cost assistance, educational program for first time homebuyers on HomePath properties. https://www.homepath.com/ready_buyer.html",32,22,0,5,5,5262
,,,,,,,,,
6/14/2015,7:50 PM,"Housing Recovery Solutions, The Home Story","With hard work and financial discipline, Nancy Beard realized her dream of owning a home. http://www.thehomestory.com/my-home-story-finding-affordable-tranquility-with-a-view/ #AmericanHousingMonth",26,19,0,2,5,14240
,,,,,,,,,
6/15/2015,9:45 AM,business support,MyCommunityMortgage expands lending opportunities: http://housingindustryforum.com/content/mycommunitymortgage-expands-lending-opportunities#.VXc9x8_4-Cc,20,11,1,2,6,800
,,,,,,,,,
6/15/2015,10:00 AM,positioning and reputation,@HousingWatchMD @gingerdowns @chadmcdowell @ModernLuxeLA @BobWiltse @HOPEHomeCenter @holthomes @cavywaqujuz @pyahnke12 Thanks for the RTs!,0,,0,0,0,0
,,,,,,,,,
6/15/2015,9:40 PM,"HARP refi, Housing Recovery Solutions","As of Q4 '14, #homeowners have saved an avg. of $185/mo. on their mortgage through HARP. See if you can save, too: http://harp.gov/.",26,20,2,1,3,143
,,,,,,,,,
6/16/2015,10:10 AM,positioning and reputation,"Mark Palim, VP of Econ. + Strategic Research: Minorities could account for 75% of household growth 2016-2020. http://themreport.com/news/government/06-12-2015/mortgage-lenders-must-think-long-term",12,7,0,0,5,1101
,,,,,,,,,
6/16/2015,1:30 PM,"Housing Recovery Solutions, The Home Story",On the fence about renting versus buying a home? These 7 questions can help you weigh your options: http://www.thehomestory.com/the-battle-between-renting-vs-buying-2/,35,28,1,0,6,229
,,,,,,,,,
6/16/2015,5:40 PM,positioning and reputation,"36% of respondents to recent @WellsFargo survey think a 20% down payment ""is always required."" https://www.wellsfargo.com/about/press/2015/homeownership-survey_0616.content",23,18,2,0,3,32
,,,,,,,,,
6/17/2015,9:05 AM,"Mortgage Lender Sentiment Survey, positioning and reputation",Respondents to our Q2 Mortgage Lender Sentiment Survey say mortgage demand is picking up: http://fanniemae.com/portal/research-and-analysis/mortgage-lender-survey.html,51,37,0,3,11,6330
,,,,,,,,,
6/17/2015,9:40 AM,positioning and reputation,@CarrieBReyes @Matelamotgagot @MoorparkRealtor @ReboGateway @Tanjahiggins @GillenKrainin @kathyknelson @Edgewood_Props Appreciate your RTs!,4,,1,3,0,0
,,,,,,,,,
6/17/2015,2:25 PM,"Access to Credit, Housing Recovery Solutions",Thinking about buying a home? Here are some things to consider before you get started. http://www.knowyouroptions.com/buy/buying-process/get-started,67,50,0,3,14,11226
,,,,,,,,,
6/17/2015,6:30 PM,business support,"Lenders are tapping new digital, social channels to reach borrowers: http://housingindustryforum.com/content/lenders-tapping-new-channels-reach-borrowers#.VYAoT_n4-Cc",28,23,0,3,2,0
,,,,,,,,,
6/18/2015,10:35 AM,"Access to Credit, HARP refi, Housing Recovery Solutions",You may qualify for a #HARPrefi. Take this 30-second quiz to find out: http://www.knowyouroptions.com/refinance/home-affordable-refinance-program-quiz,12,7,0,0,5,1329
,,,,,,,,,
6/18/2015,4:21 PM,"Mortgage Lender Sentiment Survey, positioning and reputation","Most lenders are optimistic about #housing, our Q2 #Mortgage Lender Sentiment Survey finds: http://fanniemae.com/portal/research-and-analysis/mortgage-lender-survey.html",30,21,0,0,9,7078
,,,,,,,,,
