Time,Time (unix),mentions,,
8/23/2015 20:00,1440374400,329,,
8/24/2015 20:00,1440460800,348,,
8/25/2015 20:00,1440547200,297,,
8/26/2015 20:00,1440633600,178,,
8/27/2015 20:00,1440720000,210,,
8/28/2015 20:00,1440806400,141,,
8/29/2015 20:00,1440892800,98,,
8/30/2015 20:00,1440979200,266,,
8/31/2015 20:00,1441065600,362,,
9/1/2015 20:00,1441152000,283,,
9/2/2015 20:00,1441238400,245,,
9/3/2015 20:00,1441324800,537,,
9/4/2015 20:00,1441411200,305,,
9/5/2015 20:00,1441497600,209,,
9/6/2015 20:00,1441584000,147,,
9/7/2015 20:00,1441670400,375,,
9/8/2015 20:00,1441756800,405,,
9/9/2015 20:00,1441843200,320,,
9/10/2015 20:00,1441929600,220,,
9/11/2015 20:00,1442016000,157,,
9/12/2015 20:00,1442102400,228,,
9/13/2015 20:00,1442188800,437,,
9/14/2015 20:00,1442275200,398,,
9/15/2015 20:00,1442361600,557,,
9/16/2015 20:00,1442448000,1470,,
9/17/2015 20:00,1442534400,413,,
9/18/2015 20:00,1442620800,178,,
9/19/2015 20:00,1442707200,78,,
9/20/2015 20:00,1442793600,458,,
9/21/2015 20:00,1442880000,905,,
9/22/2015 20:00,1442966400,389,,
9/23/2015 20:00,1443052800,313,,
9/24/2015 20:00,1443139200,329,,
9/25/2015 20:00,1443225600,194,,
9/26/2015 20:00,1443312000,142,,
9/27/2015 20:00,1443398400,220,,
9/28/2015 20:00,1443484800,285,,
9/29/2015 20:00,1443571200,711,,
9/30/2015 20:00,1443657600,270,,
10/1/2015 20:00,1443744000,390,,
10/2/2015 20:00,1443830400,185,,
10/3/2015 20:00,1443916800,94,,
10/4/2015 20:00,1444003200,110,,
10/5/2015 20:00,1444089600,256,,
10/6/2015 20:00,1444176000,269,,
10/7/2015 20:00,1444262400,275,,
10/8/2015 20:00,1444348800,315,,
10/9/2015 20:00,1444435200,245,,
10/10/2015 20:00,1444521600,77,,
10/11/2015 20:00,1444608000,131,,
10/12/2015 20:00,1444694400,233,,
10/13/2015 20:00,1444780800,224,,
10/14/2015 20:00,1444867200,156,,
10/15/2015 20:00,1444953600,234,,
10/16/2015 20:00,1445040000,69,,
10/17/2015 20:00,1445126400,96,,
10/18/2015 20:00,1445212800,505,,
10/19/2015 20:00,1445299200,588,,
10/20/2015 20:00,1445385600,443,,
10/21/2015 20:00,1445472000,281,,
10/22/2015 20:00,1445558400,263,,
10/23/2015 20:00,1445644800,396,,
10/24/2015 20:00,1445731200,127,,
10/25/2015 20:00,1445817600,216,,
10/26/2015 20:00,1445904000,216,,
10/27/2015 20:00,1445990400,256,,
10/28/2015 20:00,1446076800,277,,
10/29/2015 20:00,1446163200,259,,
10/30/2015 20:00,1446249600,206,,
10/31/2015 20:00,1446336000,167,,
11/1/2015 19:00,1446422400,360,,
11/2/2015 19:00,1446508800,502,,
11/3/2015 19:00,1446595200,328,,
11/4/2015 19:00,1446681600,954,,
11/5/2015 19:00,1446768000,905,,
11/6/2015 19:00,1446854400,314,,
11/7/2015 19:00,1446940800,131,,
11/8/2015 19:00,1447027200,309,,
11/9/2015 19:00,1447113600,363,,
11/10/2015 19:00,1447200000,319,,
11/11/2015 19:00,1447286400,361,,
11/12/2015 19:00,1447372800,232,,
11/13/2015 19:00,1447459200,166,,
11/14/2015 19:00,1447545600,163,,
11/15/2015 19:00,1447632000,285,,
11/16/2015 19:00,1447718400,399,,
