Date,Time,Labels,Text (Click to drill to Message Detail),# of Messages,Twitter Engagement,Clicks,Twitter Replies,Twitter Likes,Twitter Retweets,Twitter Retweet Audience
6/1/2015,9:30 AM,"HomePath Ready Buyer, Housing Recovery Solutions",It's not too late for 1st time homebuyers to take advantage of our Ready Buyer program. Learn more here: https://www.homepath.com/ready_buyer.html,1,38,23,0,3,12,7994
6/1/2015,10:00 AM,positioning and reputation,@mareinet @RealtorAnusha @blancacontreras @lukebellks @SBMex713 @Charlie053 @RealtorRJ @Marethomeloans @tbepko Thx for retweeting!,1,2,,0,1,1,737
6/1/2015,4:40 PM,positioning and reputation,"Did you know we're on Facebook and LinkedIn, too? Here's how to connect w/ us: http://fanniemae.com/portal/stay-connected.html",1,14,10,0,2,2,836
6/2/2015,8:40 AM,"Housing Recovery Solutions, The Home Story",3 questions to help you determine if you're financially ready to buy a home: http://www.thehomestory.com/three-questions-to-ask-yourself-before-applying-for-a-home-loan/,1,55,42,1,2,10,34996
6/2/2015,10:35 AM,positioning and reputation,@FirstAmDataTree @scottdshaker @MalachiMustafa @craigkamman @FICODr @TJ_DMV_Realtor @CameronchapmanL @MtgEducators Appreciate your RTs!,1,1,,0,1,0,0
6/2/2015,1:30 PM,Access to Credit,"In Q1 HARP refinance volume reached 3,302,102 since the program began: http://themreport.com/news/data/05-29-2015/fhfa-harp-refinance-volume-continues-to-grow-for-q1 Via @TheMReportNews.",1,13,8,0,2,3,5584
6/2/2015,5:30 PM,"Multifamily, positioning and reputation","Fannie Mae offers incentives for energy, water efficiency in #multifamily buildings: http://www.bdcnetwork.com/fannie-mae-offers-incentives-energy-water-efficiency-multifamily-buildings Via @ BDCNetwork.",1,22,13,1,3,5,1123
6/3/2015,11:45 AM,business support,Electronic processes help smaller lenders compete: http://housingindustryforum.com/content/electronic-processes-help-smaller-lenders-compete-0#.VW76X8_4-Cc,1,7,4,0,0,3,80
6/3/2015,6:15 PM,"Housing Recovery Solutions, The Home Story",Find out how a new generation of #homebuyers is changing the real estate game: http://www.thehomestory.com/new-generation-of-homebuyers-is-changing-the-real-estate-game/,1,52,36,0,9,7,880
6/4/2015,9:15 AM,"HARP refi, Housing Recovery Solutions",#HARPrefi may be your best route to a better mortgage. Find out if you qualify: http://harp.gov/Eligibility. https://youtu.be/pPKmezEaynw,1,13,6,0,3,4,747
