API Number,Well Name,Well Number,qtrqtr,sec,twp,range,lat,long,Elevation,Facility_type,Facility_status,fluid_type,max_wat_inj_press,max_inj_volume,not_injector_date,Formation_code,Formation,TopPeforation,BottomPerforation,NumberPerforations,PerforationSize,MeasuredDepth,TrueVerticalDepth,MeasuredPlugBackDepth,TrueVerticalPlugBackDepth,TopPerforationSubSea,BottomPerforationSubSea
05-005-06077-00,PEORIA J-SAND UNIT                 ,33,NENW,33,4S,60W,39.665367,-104.109335,5217,UIC ENHANCED RECOVERY,PA,PRODUCED WATER        ,1734,,00:00.0,JSND  ,J SAND                                            ,6491,6496,20,,6590,,6554,,-1274,-1279
05-005-06074-00,PEORIA J-SAND UNIT                 ,26,SWSW,28,4S,60W,39.669917,-104.112815,5198,UIC ENHANCED RECOVERY,PA,PRODUCED WATER        ,1739,,00:00.0,JSND  ,J SAND                                            ,6509,6513,16,,6600,,6560,,-1311,-1315
05-005-06079-00,PEORIA J-SAND UNIT                 ,21,NESE,29,4S,60W,39.672627,-104.118655,5225,UIC ENHANCED RECOVERY,PA,PRODUCED WATER        ,1748,,00:00.0,JSND  ,J SAND                                            ,6531,6547,64,,6615,,6579,,-1306,-1322
05-005-06082-00,PEORIA J-SAND UNIT                 ,32,NENE,32,4S,60W,39.665377,-104.118715,5244,UIC ENHANCED RECOVERY,PA,PRODUCED WATER        ,1750,,00:00.0,JSND  ,J SAND                                            ,6533,6554,63,,6651,,6620,,-1289,-1310
05-005-06089-00,PEORIA J-SAND UNIT                 ,27,SWSE,29,4S,60W,39.66903,-104.12328,5241,UIC ENHANCED RECOVERY,SI,PRODUCED WATER        ,1755,,,JSND  ,J SAND                                            ,6540,6572,32,,6642,,6595,,-1299,-1331
05-005-06091-00,PEORIA J-SAND UNIT                 ,38,SWNE,32,4S,60W,39.661667,-104.123505,5267,UIC ENHANCED RECOVERY,PA,PRODUCED WATER        ,1752,,00:00.0,JSND  ,J SAND                                            ,6555,6563,24,,6680,,6651,,-1288,-1296
05-005-06244-00,PONCHO J SAND UNIT                 ,9,SENE,4,4S,59W,39.735436,-103.985602,5022,UIC ENHANCED RECOVERY,PA,PRODUCED WATER        ,1625,,00:00.0,JSND  ,J SAND                                            ,6047,6055,,0.5,6188,,6152,,-1025,-1033
05-005-06230-00,PEORIA J-SAND UNIT                 ,7,NESE,19,4S,60W,39.686916,-104.136476,5168,UIC ENHANCED RECOVERY,PA,PRODUCED WATER        ,1752,,00:00.0,JSND  ,J SAND                                            ,6531,6563,136,,6644,,,,-1363,-1395
05-005-06211-00,PEORIA J-SAND UNIT                 ,3,NENW,20,4S,60W,39.694016,-104.127796,5130,UIC ENHANCED RECOVERY,PA,PRODUCED WATER        ,1724,,00:00.0,JSND  ,J SAND                                            ,64450,6458,16,0.48,6575,,6466,,-59320,-1328
05-005-06208-00,PEORIA J-SAND UNIT                 ,6,SWNW,20,4S,60W,39.690406,-104.132496,5160,UIC ENHANCED RECOVERY,PA,PRODUCED WATER        ,1745,,00:00.0,JSND  ,J SAND                                            ,6512,6534,22,0.48,6620,,,,-1352,-1374
05-005-06202-00,PEORIA J-SAND UNIT                 ,4,NENE,20,4S,60W,39.694116,-104.118305,5138,UIC ENHANCED RECOVERY,PA,PRODUCED WATER        ,1728,,00:00.0,JSND  ,J SAND                                            ,6469,6472,6,0.48,6575,,,,-1331,-1334
05-005-06122-00,PEORIA J-SAND UNIT                 ,41,NESE,31,4S,60W,39.657977,-104.137466,5262,UIC ENHANCED RECOVERY,PA,PRODUCED WATER        ,1760,,00:00.0,JSND  ,J SAND                                            ,6586,6638,36,,6705,,6628,,-1324,-1376
05-005-06271-00,PEORIA J-SAND UNIT                 ,40,SENE,31,4S,60W,39.661517,-104.137436,5272,UIC ENHANCED RECOVERY,PA,PRODUCED WATER        ,1769,,00:00.0,JSND  ,J SAND                                            ,6610,6614,9,,6700,,6668,,-1338,-1342
