Name,Finish,Regatta,Event,Gender
Philip Bogden,8,HOCR,50+,M
Steve Schmitt,11,HOCR,50+,M
Cindy Cole,10,HOCR,50+,F
Barbara Ryan,31,HOCR,50+,F
Eman Caudron,19,HOCR,40+,M
Jason Higley,19,HOCR,30+,M
Steve Schmitt,1,SHOP,50+,M
Philip Bogden,2,SHOP,50+,M
Richard Lewis,3,SHOP,50+,M
Pete Folger,5,SHOP,50+,M
Philip Wasielewski,6,SHOP,50+,M
Ad Bax,7,SHOP,50+,M
Anthony Burke,12,SHOP,50+,M
Jon Toellner,14,SHOP,50+,M
Carol Dinion,3,SHOP,50+,F
Karen Lyons,4,SHOP,50+,F
Virginia Bryant,6,SHOP,50+,F
Barbara Ryan,8,SHOP,50+,F
Caryl Salters,9,SHOP,50+,F
Eman Caudron,2,SHOP,30+,M
Jason Higley,3,SHOP,30+,M
Phil Hoyle,5,SHOP,30+,M
Robert Knauer,9,SHOP,30+,M
Chris Conroy,1,SHOP,40+,M
Harol Garon,2,SHOP,40+,M
Neal Young,2,SHOP,60+,M
Chuck Selden,3,SHOP,60+,M
Garrett Rasmussen,6,SHOP,60+,M
Nils Peterson,7,SHOP,60+,M
Dana Perrone,2,SHOP,60+,F
Philip Bogden,1,Occoquan Challenge,50+,M
Richard Lewis,2,Occoquan Challenge,50+,M
Bill Kostoff,4,Occoquan Challenge,50+,M
Philip Bogden,1,HOSR,50+,M
Pete Folger,10,HOSR,50+,M
Philip Wasielewski,16,HOSR,50+,M
Virginia Bryant,11,HOSR,50+,F
